"#","Course Name","Group / Batch","Reflection Question 1","Reflection Question 2","Reflection Question 3","Notes","Done?","check for cnd (dont touch)"
"1","Research Methodology Course (RMC)","Completed Redesigns","Has this course changed the way you think about research or evidence in clinical practice? What stood out to you the most?","What research question or idea are you most interested in exploring further, and what inspired that interest?","Which part of the research process did you find most relevant to your own goals or setting?","","FALSE","FALSE"
"2","Essential Emergency & Critical Care (EECC)","Completed Redesigns","Think of a critically ill patient you've cared for. What aspect of their emergency management felt most challenging, and how does this course change how you'd approach it?","What is the biggest barrier to delivering good emergency and critical care in your setting? How have you or your team tried to work around it?","","Reflection Forum not created yet.","FALSE","FALSE"
"3","Certificate in Community Engagement & Involvement for Surgical Research","Completed Redesigns","What key concepts or definitions did you learn (for example, CEI, participation, engagement, involvement)? ","How did the module shape your understanding of involving patients, carers, and communities in surgical research?","","","FALSE","FALSE"
"4","Appendicitis","Completed Redesigns","Think of a patient you've seen with acute abdominal pain. What clinical signs helped guide your diagnosis, and was there anything that made it difficult?","How does your facility currently manage acute appendicitis, and are there gaps in care that you would like to see improved?","","Reflection Forum not created yet.","FALSE","FALSE"
"5","Laparoscopic Handling of the Small Bowel","Completed Redesigns","Have you had experience with laparoscopic bowel surgery? What did you find most technically challenging about handling the small bowel?","What resources or training would help you feel more confident with laparoscopic small bowel procedures in your setting?","","Reflection Forum not created yet.","FALSE","FALSE"
"6","Trocar Placement","Completed Redesigns","Reflect on your first experience with trocar placement. What did you find most difficult, and what would you do differently now?","How do you currently decide on trocar placement for different procedures, and how has this course influenced your thinking?","","Reflection Forum not created yet.","FALSE","FALSE"
"7","Ectopic Pregnancy","Completed Redesigns","Have you managed a patient with ectopic pregnancy? What was most challenging about their care, and what was the outcome?","What barriers in your setting might delay diagnosis and treatment of ectopic pregnancy, and what practical steps could address them?","","Reflection Forum not created yet.","FALSE","FALSE"
"8","Penetrating Thoracoabdominal Trauma","Completed Redesigns","Think of a patient you've seen with penetrating trauma to the chest or abdomen. What were your immediate priorities in their management?","What resources does your facility have for managing penetrating trauma, and what gaps affect patient outcomes in your setting?","","Reflection Forum not created yet.","FALSE","FALSE"
"9","Laparoscopic Cholecystectomy","Completed Redesigns","Reflect on a laparoscopic cholecystectomy you've performed or observed. What aspect of the procedure felt most technically demanding?","How do you ensure safe dissection in the hepatocystic triangle in your practice, and what do you do when the anatomy is unclear?","","Reflection Forum not created yet.","FALSE","FALSE"
"10","Introduction to Musculoskeletal Tumour Surgery","Completed Redesigns","Have you encountered a patient with a suspected musculoskeletal tumour in your practice? How did you approach their diagnosis and initial management?","What challenges do patients with musculoskeletal tumours face in accessing specialised care in your region, and how do you navigate these?","","Reflection Forum not created yet.","FALSE","FALSE"
"11","Navigating the Global Surgery Ecosystem","Completed Redesigns","","","","Multiple reflection forums.","FALSE","FALSE"
"12","Hemorrhage Control in the Prehospital Setting","Completed Redesigns","Have you ever had to manage life-threatening bleeding before reaching a health facility? What actions did you take, and what resources did you wish you had?","What training do first responders and healthcare workers in your setting receive for prehospital hemorrhage control, and what improvements would you recommend?","","Reflection Forum not created yet.","FALSE","FALSE"
"13","Trauma and Disaster Team Response","Completed Redesigns","What key concepts did you learn about trauma care, disaster response, and team roles?  ","How did the module shape your understanding of working within a multidisciplinary trauma team?","","","FALSE","FALSE"
"14","Intervention de Traumatologie et de Catastrophe en Equipe","Completed Redesigns","Quels concepts clés avez-vous appris concernant la prise en charge des traumatismes, l'intervention en cas de catastrophe et les rôles au sein d'une équipe ?  ","En quoi ce module a-t-il influencé votre compréhension du travail au sein d'une équipe multidisciplinaire de prise en charge des traumatismes ?","French version","","FALSE","FALSE"
"15","Complex Lower Extremity Trauma – Femoral Neck Fractures","Completed Redesigns","Think of a patient you've managed with a femoral neck fracture. What factors influenced your decision between fixation and arthroplasty?","What challenges does your facility face in managing femoral neck fractures — whether related to equipment, timing, or postoperative care?","","Reflection Forum not created yet.","FALSE","FALSE"
"16","Complex Lower Extremity Trauma – Acetabular Fractures","Completed Redesigns","Have you managed or referred a patient with an acetabular fracture? What was most complex about their case?","What does access to specialised orthopaedic trauma care look like in your setting, and how does this affect outcomes for patients with acetabular fractures?","","Reflection Forum not created yet.","FALSE","FALSE"
"17","Apprendre et Transmettre l'Anesthésie Locorégionale Echoguidée en toute Sécurité","Completed Redesigns","How do you currently teach or learn ultrasound-guided regional anaesthesia in your setting? What has worked well and what has been difficult?","Think about a regional anaesthesia block you've performed or supervised. What was the most challenging part of ensuring both safety and effectiveness?","French course","","FALSE","FALSE"
"18","Nursing Care in War","Completed Redesigns","Have you ever worked in a high-acuity or conflict-affected setting? What aspects of nursing care were hardest to maintain under those conditions?","What principles from this course do you think are most important for nurses to apply when working in crisis or conflict environments?","","","FALSE","FALSE"
"19","Surgical Foundations","Completed Redesigns","Which foundational surgical principle from this course do you feel is most often overlooked in your day-to-day practice, and why?","How do you approach teaching surgical fundamentals to junior colleagues or students in your setting?","","","FALSE","FALSE"
"20","Anaesthesia in War","Completed Redesigns","Have you worked in a resource-limited or high-pressure environment where standard anaesthesia equipment or drugs were unavailable? How did you adapt?","What do you think is the most critical skill for an anaesthesia provider working in a conflict or austere setting, and how well prepared do you feel?","","","FALSE","FALSE"
"21","Key Concepts in the Perioperative Management of Spinal Cord Injuries","Completed Redesigns","Have you cared for a patient with a spinal cord injury in the perioperative period? What aspect of their management felt most complex?","What challenges does your facility face in providing safe anaesthesia and perioperative care for patients with spinal cord injuries?","","","FALSE","FALSE"
"22","Fundamentals of War Surgery","Completed Redesigns","Have you ever had to perform surgery under austere or resource-limited conditions? What was the hardest part about adapting your approach?","Which principle of war surgery do you think is most applicable to everyday surgical practice in your setting, even outside of conflict?","","","FALSE","FALSE"
"23","Rapid Sequence Induction","Completed Redesigns","Think about a time you performed or assisted with a rapid sequence induction. What went smoothly, and what would you approach differently?","What is the most common scenario in your practice where RSI is needed, and how confident are you in managing it if complications arise?","","","FALSE","FALSE"
"24","The Labour Epidural: Troubleshooting","Completed Redesigns","Think of a case where a labour epidural was not working as expected. What did you do to troubleshoot it, and what was the outcome?","What is the most common epidural complication you encounter in your practice, and how do you currently manage it?","","","FALSE","FALSE"
"25","Scalp Reconstruction","Completed Redesigns","Think about a patient who needed scalp reconstruction after trauma or tumour removal. What factors most influenced your choice of technique?","What reconstructive options are realistically available to you in your practice, and how do you adapt when your first-choice approach isn't possible?","","","FALSE","FALSE"
"26","Anaesthetic Considerations for Vaginal Birth After Caesarean Delivery","Completed Redesigns","Have you provided anaesthesia for a patient attempting a vaginal birth after caesarean? What was your biggest concern going into that case?","How do you currently counsel patients about the anaesthetic risks of VBAC in your setting, and what factors most influence your approach?","","","FALSE","FALSE"
"27","Patient-Centred Care","Completed Redesigns","Think of a time when you felt you truly understood what mattered most to a patient. What made that interaction different, and how did it affect their care?","What is one thing you could change in your day-to-day practice to make your care feel more patient-centred, even with limited time or resources?","","","FALSE","FALSE"
"28","Lumbar Plexus Block – Landmark Technique (PSOAS Compartment Block)","Completed Redesigns","Have you performed or observed a lumbar plexus block? What was the most challenging aspect of the landmark technique in practice?","How does regional anaesthesia fit into your current approach to postoperative pain management for lower limb surgery, and what limits its use in your setting?","","","FALSE","FALSE"
"29","Exploring Perioperative Nursing","Completed Redesigns","Think about a patient whose perioperative journey stood out to you — something went unexpectedly well or unexpectedly wrong. What role did nursing care play in that outcome?","Which part of the perioperative nursing role do you find most challenging in your setting, and what support would make the biggest difference?","","","FALSE","FALSE"
"30","Essential Burn Care (EBC)","Batch 1","Think about a patient you've seen with a mild or moderate burn injury. How confident did you feel in their assessment and treatment, and what would you do differently now that you've completed this course?","Burn injuries are largely preventable. What are the most common causes of burns in the patients you see, and is there anything your facility or community could realistically do to reduce them?","","","FALSE","FALSE"
"31","Blood Sparing Techniques in Paediatric Anaesthesia","Batch 1","Have you cared for a child who required blood transfusion during surgery? Reflecting on that case, were there opportunities to reduce blood loss that weren't taken?","What blood conservation strategies are currently used in your facility for paediatric patients, and what barriers prevent wider use of these techniques?","","Reflection Forum not created.","FALSE","FALSE"
"32","Transversus Abdominis Plane (TAP) Block","Batch 1","Have you used or observed a TAP block in clinical practice? How effective was it for postoperative pain management, and what challenges came up?","How does access to ultrasound guidance in your setting affect your ability to offer regional anaesthesia techniques like the TAP block to your patients?","","Reflection Forum not created.","FALSE","FALSE"
"33","Anaesthesia for Caesarean Delivery","Batch 1","Think about a caesarean delivery you've anaesthetised. What factors influenced your choice between spinal, epidural, or general anaesthesia?","What is the most common anaesthetic challenge you face during caesarean deliveries in your setting, and how do you manage it?","","","FALSE","FALSE"
"34","Fascia Iliaca Compartment Block: Landmark And Ultrasound Approach","Batch 1","Have you performed or assisted with a fascia iliaca block? What differences did you notice between the landmark and ultrasound-guided approaches?","How do you currently manage acute pain from hip or femoral fractures in your facility, and how might this block improve care for those patients?","","Reflection Forum not created.","FALSE","FALSE"
"35","Burns: Wound Care and Pain Management","Batch 2","Think of a burn patient you've cared for. What was the most difficult part of managing their wound care, and how did you address it?","How do you currently approach pain management for burn patients in your setting, and what changes would improve their comfort and recovery?","","","FALSE","TRUE"
"36","Common Intraoperative Problems","Batch 2","Have you encountered an unexpected intraoperative complication? How did you respond, and what would you do differently with the knowledge from this course?","Which intraoperative problem do you feel least prepared to manage in your current practice, and what would help you feel more confident?","","","FALSE","FALSE"
"37","Microsurgery Workhorse Flaps","Batch 2","Have you been involved in a free flap reconstruction case? What aspect of microsurgery did you find most technically demanding?","What factors in your setting — equipment, team experience, postoperative monitoring — affect your ability to offer free flap reconstruction to patients?","","","FALSE","FALSE"
"38","A Crash Course in Facial Fractures","Batch 2","Think of a patient you've seen with facial trauma. How confident did you feel assessing and planning their management, and what would have helped you more?","What is the most common type of facial fracture you encounter in your practice, and how does your facility currently manage it?","","Questions need to be added into the reflection forum.","FALSE","FALSE"
"39","Tranexamic Acid","Batch 2","Have you used tranexamic acid in a bleeding emergency or surgical case? What was the outcome, and did anything about how you use it change after this course?","Is tranexamic acid routinely available and used in your facility? If not, what barriers exist, and how might wider use improve patient outcomes?","","","FALSE","FALSE"
"40","Acide Tranexamique","","Avez-vous déjà utilisé l'acide tranexamique dans le cadre d'une urgence hémorragique ou d'une intervention chirurgicale ? Quel a été le résultat, et votre façon de l'utiliser a-t-elle évolué à l'issue de cette formation ?","L'acide tranexamique est-il couramment disponible et utilisé dans votre établissement ? Si ce n'est pas le cas, quels sont les obstacles rencontrés, et en quoi une utilisation plus généralisée pourrait-elle améliorer les résultats cliniques des patients ?","","","FALSE","FALSE"
"41","Hand Trauma Reconstruction","Batch 2","Think of a patient with a hand injury you've managed. What was most challenging about their reconstruction, and how satisfied were you with the functional outcome?","What is the biggest gap in hand trauma care in your setting — is it surgical expertise, rehabilitation, or access to follow-up?","","Questions need to be added into the reflection forum.","FALSE","FALSE"
"42","Personal Protective Equipment (PPE)","Batch 2","Reflect on your daily use of PPE in the clinical setting. Are there situations where you feel the right protection isn't available or isn't being used correctly?","Have you ever felt unsafe due to inadequate PPE? How did you handle it, and what changes would you advocate for in your workplace?","","Reflection Forum not created.","FALSE","FALSE"
"43","Pulse Oximetry","Batch 2","How reliant is your clinical practice on pulse oximetry for patient monitoring? Have you ever encountered a situation where the reading was misleading?","Is pulse oximetry reliably available for all patients in your facility? If not, how do you monitor oxygenation, and what impact does this have on safety?","","","FALSE","FALSE"
"44","Pulse Oximetry in the Context of COVID-19","Batch 2","During the COVID-19 pandemic, did you notice changes in how pulse oximetry was used in your setting? What did you learn from those experiences?","How has the pandemic changed your approach to monitoring and triaging patients with respiratory symptoms in your practice?","","","FALSE","FALSE"
"45","Conversion of Labour Epidural Analgesia to Anaesthesia for Caesarean Delivery","Batch 2","Have you had to convert a labour epidural to surgical anaesthesia for an emergency caesarean? How smoothly did it go, and what challenges did you face?","What factors in your setting — staffing, equipment, communication — most affect your ability to quickly convert epidural analgesia to anaesthesia when needed?","","","FALSE","FALSE"
"46","Perioperative Blood Management in the Pediatric Patient","Batch 2","Have you managed significant intraoperative blood loss in a paediatric patient? What strategies did you use, and what would you do differently?","What blood conservation and transfusion protocols exist for children in your facility, and are they consistently followed?","","","FALSE","FALSE"
"47","Ultrasound-Guided Femoral Nerve Block","Batch 2","Have you performed or assisted with a femoral nerve block? How did ultrasound guidance change the procedure compared to landmark techniques?","How do you currently manage postoperative pain after femoral or knee surgery in your setting, and where does nerve block fit in?","","","FALSE","FALSE"
"48","Perioperative Nursing E-Learning Foundational Programme (PeN Programme)","Batch 2","Which module in this programme addressed a gap you've felt in your own perioperative nursing practice? How will you apply what you learned?","What aspect of perioperative nursing do you find hardest to maintain in your facility, and how does this programme help you advocate for better standards?","","Reflection Forum not created.","FALSE","TRUE"
"49","Communication Skills for Telephone Consultations","Batch 3","Have you given or received a telephone consultation that didn't go as planned? What was missing from that interaction, and how would you approach it differently?","How do you ensure safety and accuracy when assessing a patient you cannot see? What strategies do you use in your phone consultations?","","Reflection Forum not created.","FALSE","TRUE"
"50","Video Consultations","Batch 3","Have you ever conducted or participated in a video consultation? What worked well, and what made it harder than an in-person visit?","Which types of patients in your practice do you think would most benefit from video consultations, and what barriers prevent you from offering them?","","Reflection Forum not created.","FALSE","TRUE"
"51","Safe Clinical Handover","Batch 3","Think of a time when a handover — at shift change, between departments, or at discharge — didn't go smoothly. What happened, and what was the impact on the patient?","What handover practices in your workplace feel most reliable, and which feel most at risk of leading to a missed detail?","","Reflection Forum not created.","FALSE","TRUE"
"52","Rectal Cancer Surgery","Batch 3","Have you been involved in surgery for rectal cancer? What was the most technically challenging aspect of the procedure?","How does access to colorectal oncology services — staging, multidisciplinary teams, and follow-up — affect outcomes for your patients with rectal cancer?","","Reflection Forum not created.","FALSE","TRUE"
"53","Pancreatic Cancer Surgery","Batch 3","Have you managed or referred a patient with pancreatic cancer? What was most complex about their surgical planning and care?","What barriers do patients in your setting face in accessing timely diagnosis and surgical treatment for pancreatic cancer?","","Reflection Forum not created.","FALSE","TRUE"
"54","Colon Cancer Surgery","Batch 3","Think of a patient you've cared for with colon cancer. What factors most influenced the surgical plan and outcome?","How does your facility approach colon cancer surgery — are there multidisciplinary team discussions, and what happens when specialist input isn't available?","","Reflection Forum not created.","FALSE","TRUE"
"55","Breast Cancer Surgery","Batch 3","Have you cared for a patient undergoing breast cancer surgery? How was the decision made between breast-conserving surgery and mastectomy?","What challenges do patients with breast cancer face in your setting — in terms of diagnosis, access to surgery, or reconstruction options?","","Reflection Forum not created.","FALSE","TRUE"
"56","Vascular Malformations","Batch 3","Have you encountered a patient with a vascular malformation? How was the diagnosis made, and what treatment options were available?","What is the biggest challenge in managing vascular malformations in your setting — diagnosis, referral pathways, or access to treatment?","","","FALSE","FALSE"
"57","Pressure Sore Reconstruction","Batch 3","Have you cared for a patient with a pressure sore requiring reconstruction? What factors made their healing difficult?","What systems exist in your facility to prevent pressure sores, and what happens when a patient develops one despite preventive measures?","","","FALSE","FALSE"
"58","Adjuvant Medications for Peripheral Nerve Block","Batch 3","Have you used adjuvant medications to extend or improve the quality of a peripheral nerve block? What was your experience, and what influenced your choice?","How do you decide which adjuvants to use for regional anaesthesia in your practice, and what limitations affect your options?","","","FALSE","FALSE"
"59","Anaesthesia for Craniotomy and Brain Tumour Resection","Batch 3","Have you provided anaesthesia for a craniotomy or brain tumour resection? What aspect of the case required the most careful planning?","What intraoperative challenges do you most commonly face during neurosurgical cases in your setting, and how do you manage them?","","","FALSE","FALSE"
"60","Nerve Stimulation for Peripheral Nerve Blockade","Batch 3","Have you used nerve stimulation for peripheral nerve blocks? How did the technique compare to landmark or ultrasound-guided approaches in your experience?","In settings without reliable ultrasound access, how do you ensure the safety and accuracy of peripheral nerve blocks?","","","FALSE","FALSE"
"61","Obstetrics in the Setting of Remote Retrieval Medicine","Batch 4","Have you ever managed an obstetric emergency in a remote or resource-limited setting? What was your biggest challenge in accessing help or specialist care?","What preparation would make you feel more confident managing an obstetric emergency before specialist retrieval arrives?","","","FALSE","FALSE"
"62","Anaesthesia for Posterior Cranial Fossa Surgery","Batch 4","Have you provided anaesthesia for posterior fossa surgery? What positioning or airway challenges did you encounter, and how did you manage them?","What special considerations do you factor into your anaesthetic plan for patients undergoing posterior cranial fossa surgery in your setting?","","","FALSE","FALSE"
"63","Understanding Local Anaesthetic Systemic Toxicity (LAST)","Batch 4","Have you ever suspected or managed a case of local anaesthetic systemic toxicity? What were the early signs, and how quickly were you able to respond?","Is your facility prepared to manage LAST — do you have lipid emulsion available and does your team know the protocol? What would you do if not?","","","FALSE","FALSE"
"64","Understanding Capnography","Batch 4","Think of a time when capnography gave you information that changed your clinical decision. What did you learn from that experience?","Is capnography reliably available in your practice? If not, how do you monitor ventilation and detect problems like oesophageal intubation?","","","FALSE","FALSE"
"65","Understanding Arterial Blood Pressure Measurement","Batch 4","Have you ever had a blood pressure reading that didn't match the clinical picture? How did you investigate, and what did you find?","How does your practice approach blood pressure monitoring for critically ill patients — when do you move from non-invasive to invasive monitoring, and what determines that decision?","","","FALSE","FALSE"
"66","Principles of Regional Anaesthesia in Children","Batch 4","Have you performed regional anaesthesia in a paediatric patient? What differences did you notice compared to adults in terms of technique or dosing?","How do you approach parental consent and a child's own understanding when planning regional anaesthesia in your practice?","","","FALSE","FALSE"
"67","Practical Considerations to Access the Epidural Space","Batch 4","Think of a challenging epidural insertion you've performed or observed. What made it difficult, and how did you work through it?","What factors in your setting — patient population, equipment, positioning — most affect your success rate with epidural placement?","","","FALSE","FALSE"
"68","Speaking Up in the Operating Room: Escalating Concerns","Batch 4","Have you ever felt uncomfortable speaking up about a safety concern in the operating room? What made it hard, and what happened as a result?","What does the culture in your operating room feel like when it comes to raising concerns? What would make it easier for everyone to speak up, regardless of seniority?","","","FALSE","FALSE"
"69","Perioperative Medicine: An Overview","Batch 4","How does your facility approach perioperative medical optimisation? Are there patients you feel aren't being adequately prepared for surgery?","What is the most common perioperative medical complication you encounter in your practice, and how do you currently manage it?","","","FALSE","FALSE"
"70","Oral Health in Comprehensive Cleft Care: Oral Health Professionals","Batch 4","Have you been part of a multidisciplinary cleft care team? How well was oral health integrated into the overall management plan?","What barriers do patients with cleft lip and palate face in accessing dental and oral health care in your setting?","","","FALSE","FALSE"
"71","Anaesthesia for Tissue Free-Flap Surgery","Batch 4","Have you provided anaesthesia for a free flap case? What intraoperative priorities — perfusion, temperature, fluid management — felt most critical?","How do you manage communication between the surgical and anaesthesia team during free flap surgery to ensure flap survival?","","","FALSE","FALSE"
"72","Fascia Iliaca Compartment Block: An Update","Batch 4","How has your understanding of the fascia iliaca block changed since this update, and how will it affect how you perform or teach the block?","In what clinical situations do you find the fascia iliaca block most useful, and are there cases where you've avoided it — if so, why?","","","FALSE","FALSE"
"73","Acute Burn Care","Batch 5","Think of a patient with acute burns you've managed. What was your biggest challenge in the first 24 hours of their care?","How does your facility handle burn resuscitation and wound assessment? What resources or protocols are missing that would improve care?","","","FALSE","FALSE"
"74","Head and Neck Reconstruction","Batch 5","Have you been involved in a head and neck reconstruction case? What factors most influenced the choice of reconstructive technique?","What challenges do patients undergoing head and neck reconstruction face in your setting — functional, aesthetic, or psychosocial?","","","FALSE","FALSE"
"75","Facial Paralysis","Batch 5","Have you cared for a patient with facial paralysis? How did their condition affect them beyond the physical — emotionally, socially, professionally?","What treatment options for facial paralysis are realistically available in your setting, and how do you counsel patients when ideal options aren't accessible?","","","FALSE","FALSE"
"76","Breast Reconstruction","Batch 5","Have you been involved in or referred a patient for breast reconstruction after mastectomy? How was the timing and type of reconstruction decided?","What do women in your setting typically know about breast reconstruction options before surgery, and how do you approach that conversation?","","","FALSE","FALSE"
"77","Nasal Reconstruction","Batch 5","Think of a patient who required nasal reconstruction. What was the most complex aspect of planning and executing the repair?","How do you balance aesthetic and functional outcomes in nasal reconstruction, especially when resources are limited?","","","FALSE","FALSE"
"78","Cleft Lip and Palate","Batch 5","Have you cared for a child with cleft lip and/or palate, or been part of a repair team? What aspect of their management was most complex?","What does the multidisciplinary care pathway for cleft patients look like in your setting, and where are the biggest gaps?","","","FALSE","FALSE"
"79","Skin Cancer Reconstruction","Batch 5","Have you reconstructed a defect after skin cancer excision? What guided your choice of technique, and how satisfied were you with the result?","What challenges do patients in your setting face in getting timely skin cancer diagnosis and surgical treatment?","","","FALSE","FALSE"
"80","Ear Reconstruction","Batch 5","Have you performed or observed ear reconstruction? What was the most technically challenging aspect of the procedure?","How do you approach the psychological and social impact of ear deformity with your patients, particularly in children?","","","FALSE","FALSE"
